Brix Chart - https://www.greenwoodassociates.com/wp-content/uploads/2020-Brix-Chart.pdf				
Brix	Specific Gravity	Weight Per Gallon	Pound Solid	Refractive Index
0	1	8,322	0	0
0,1	1,00039	8,325	0,008	0
0,2	1,00078	8,328	0,017	0
0,3	1,00117	8,331	0,025	0
0,4	1,00156	8,335	0,033	0
0,5	1,00194	8,338	0,042	0
0,6	1,00233	8,341	0,05	0
0,7	1,00272	8,344	0,059	0
0,8	1,00312	8,348	0,067	0
0,9	1,00351	8,351	0,075	1,3343
1	1,0039	8,354	0,084	1,3344
1,1	1,00429	8,357	0,092	1,3346
1,2	1,00468	8,361	0,1	1,3347
1,3	1,00507	8,364	0,109	1,3349
1,4	1,00546	8,367	0,117	1,335
1,5	1,00585	8,37	0,126	1,3352
1,6	1,00624	8,374	0,134	1,3353
1,7	1,00663	8,377	0,142	1,3354
1,8	1,00702	8,38	0,151	1,3356
1,9	1,00741	8,383	0,159	1,3357
2	1,0078	8,387	0,168	1,3359
2,1	1,00819	8,39	0,176	1,336
2,2	1,00859	8,393	0,185	1,3362
2,3	1,00898	8,396	0,193	1,3363
2,4	1,00937	8,4	0,202	1,3365
2,5	1,00977	8,403	0,21	1,3366
2,6	1,01016	8,406	0,219	1,3368
2,7	1,01055	8,409	0,227	1,3369
2,8	1,01094	8,413	0,236	1,337
2,9	1,01134	8,416	0,244	1,3372
3	1,01173	8,419	0,252	1,3373
3,1	1,01213	8,423	0,261	1,3375
3,2	1,01252	8,426	0,27	1,3376
3,3	1,01292	8,429	0,278	1,3377
3,4	1,01331	8,432	0,287	1,3379
3,5	1,01371	8,436	0,295	1,338
3,6	1,0141	8,439	0,304	1,3382
3,7	1,0145	8,442	0,312	1,3383
3,8	1,0149	8,446	0,321	1,3385
3,9	1,01529	8,449	0,329	1,3386
4	1,01569	8,452	0,338	1,3388
4,1	1,01609	8,456	0,347	1,3389
4,2	1,01649	8,459	0,355	1,3391
4,3	1,01688	8,462	0,364	1,3392
4,4	1,01728	8,465	0,372	1,3394
4,5	1,01768	8,469	0,381	1,3395
4,6	1,01808	8,472	0,39	1,3397
4,7	1,01848	8,475	0,398	1,3398
4,8	1,01888	8,479	0,407	1,34
4,9	1,01928	8,482	0,416	1,3401
5	1,01968	8,485	0,424	1,3402
5,1	1,02008	8,489	0,433	1,3404
5,2	1,02048	8,492	0,441	1,3405
5,3	1,02088	8,495	0,45	1,3407
5,4	1,02128	8,499	0,459	1,3408
5,5	1,02168	8,502	0,468	1,341
5,6	1,02208	8,505	0,476	1,3411
5,7	1,02248	8,509	0,485	1,3413
5,8	1,02289	8,512	0,494	1,3414
5,9	1,02329	8,515	0,502	1,3416
6	1,02369	8,519	0,511	1,3417
6,1	1,02409	8,522	0,52	1,3419
6,2	1,0245	8,526	0,529	1,342
6,3	1,0249	8,529	0,537	1,3422
