element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	3	"62.144"	"0.010"	""	""	"3"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	3	"67.968"	"0.010"	""	""	"2"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	1	"74.4573"	"0.0025"	"74.457"	"0.003"	"a"	""	""		"0.000"	"134305"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).20p"	"2[1/2]*"	"1"		""	"L2725"	
Hg	1	"74.4810"	"0.0009"	"74.4810"	"0.0009"	"a"	""	""		"0.000"	"134262.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).19p"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"74.5308"	"0.0009"	"74.5308"	"0.0009"	"a"	""	""		"0.000"	"134172.7"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).18p"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"74.5834"	"0.0009"	"74.5834"	"0.0009"	"a"	""	""		"0.000"	"134078.1"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).17p"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"74.6533"	"0.0009"	"74.6533"	"0.0009"	"a"	""	""		"0.000"	"133952.6"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).16p"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"74.6543"	"0.0025"	"74.6542"	"0.0022"	"a"	""	""		"0.000"	"133951"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).13f"	"2[3/2]*"	"1"		""	"L2725"	
Hg	1	"74.7245"	"0.0009"	"74.7245"	"0.0009"	"a"	""	""		"0.000"	"133824.9"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).12f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"74.7315"	"0.0009"	"74.7315"	"0.0009"	"a"	""	""		"0.000"	"133812.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).15p"	"2[1/2]*"	"1"		""	"L400"	
