element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Na	11	""	""	"0.76766023"	"0.00000010"	""	"1.81e+11"	"3.20e-03"		"0."	"(13026596.357)"	"1s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"0.76766763"	"0.00000010"	""	"1.81e+11"	"1.60e-03"		"0."	"(13026470.906)"	"1s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"0.77347340"	"0.00000010"	""	"2.88e+11"	"5.17e-03"		"0."	"(12928692.883)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"0.77348532"	"0.00000010"	""	"2.88e+11"	"2.58e-03"		"0."	"(12928493.652)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"0.78331130"	"0.00000010"	""	"5.03e+11"	"9.25e-03"		"0."	"(12766316.554)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"0.78333242"	"0.00000010"	""	"5.02e+11"	"4.62e-03"		"0."	"(12765972.25)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"0.80209276"	"0.00000010"	""	"9.98e+11"	"1.93e-02"		"0."	"(12467385.92)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"0.80213603"	"0.00000010"	""	"9.97e+11"	"9.62e-03"		"0."	"(12466713.33)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	"0.84588"	"0.00007"	"0.84591212"	"0.00000010"	"bl*"	"2.45e+12"	"5.26e-02"		"0."	"(11821558.94)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		"T7771"	"L6845"	
Na	11	"0.84588"	"0.00007"	"0.84602623"	"0.00000010"	"bl*"	"2.45e+12"	"2.63e-02"		"0."	"(11819964.44)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		"T7771"	"L6845"	
Na	10	""	""	"0.8541659"	"0.0000015"	""	"9.67e+10"	"3.17e-03"	A+	"0.0"	"(11707327)"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8560462"	"0.0000015"	""	"1.33e+11"	"4.38e-03"	A	"0.0"	"(11681612)"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8586885"	"0.0000015"	""	"1.89e+11"	"6.28e-03"	A	"0.0"	"(11645667)"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8625710"	"0.0000015"	""	"2.83e+11"	"9.47e-03"	A	"0.0"	"(11593248)"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8686207"	"0.0000015"	""	"4.50e+11"	"1.53e-02"	A+	"0.0"	"(11512505)"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8788392"	"0.0000015"	""	"7.81e+11"	"2.71e-02"	A+	"0.0"	"(11378646)"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	""	""	"0.8982795"	"0.0000016"	""	"1.54e+12"	"5.60e-02"	A+	"0.0"	"(11132393)"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T5231c64,T5072"	""	
Na	10	"0.9428"	"0.0003"	"0.9433001"	"0.0000018"	""	"3.74e+12"	"1.49e-01"	A+	"0.0"	"(10601080)"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T5231c64,T5072"	"L2560c7"	
