"Time (ms)","Recording (a.u.)"
0.000000000E0,5.686318618E-4
2.083412250E-2,1.198052429E-3
4.166824501E-2,1.827945234E-3
6.250236751E-2,2.522276947E-3
8.333649002E-2,3.119688714E-3
1.041706125E-1,3.773079254E-3
1.250047350E-1,4.462223034E-3
1.458388575E-1,5.038285628E-3
1.666729800E-1,5.589355715E-3
1.875071025E-1,6.146659143E-3
2.083412250E-1,6.785621867E-3
2.291753476E-1,7.429184392E-3
2.500094701E-1,7.982814685E-3
2.708435926E-1,8.558269590E-3
2.916777151E-1,9.160922840E-3
3.125118376E-1,9.757511318E-3
3.333459601E-1,1.030856185E-2
3.541800826E-1,1.085984986E-2
3.750142051E-1,1.146231126E-2
3.958483276E-1,1.204824634E-2
4.166824501E-1,1.263018698E-2
4.375165726E-1,1.318893209E-2
4.583506951E-1,1.364032645E-2
4.791848176E-1,1.410540380E-2
5.000189401E-1,1.466436498E-2
5.208530626E-1,1.521630492E-2
5.416871851E-1,1.565660164E-2
5.625213076E-1,1.598252170E-2
5.833554301E-1,1.640715636E-2
6.041895526E-1,1.695622131E-2
6.250236751E-1,1.741408929E-2
6.458577976E-1,1.779012010E-2
6.666919201E-1,1.816651784E-2
6.875260427E-1,1.858077571E-2
7.083601652E-1,1.892469078E-2
7.291942877E-1,1.920322329E-2
7.500284102E-1,1.959188841E-2
7.708625327E-1,2.004120685E-2
7.916966552E-1,2.038970590E-2
8.125307777E-1,2.064890414E-2
8.333649002E-1,2.093492448E-2
8.541990227E-1,2.122331038E-2
8.750331452E-1,2.149446681E-2
8.958672677E-1,2.175562270E-2
9.167013902E-1,2.199212462E-2
9.375355127E-1,2.218767256E-2
9.583696352E-1,2.233612537E-2
9.792037577E-1,2.248879150E-2
1.000037880E0,2.266212739E-2
1.020872003E0,2.285319753E-2
1.041706125E0,2.296848223E-2
1.062540248E0,2.301963605E-2
1.083374370E0,2.309545502E-2
1.104208493E0,2.320706472E-2
1.125042615E0,2.325154468E-2
1.145876738E0,2.316716313E-2
1.166710860E0,2.315147221E-2
1.187544983E0,2.318361588E-2
1.208379105E0,2.311577275E-2
1.229213228E0,2.302996069E-2
1.250047350E0,2.295031585E-2
1.270881473E0,2.286741696E-2
1.291715595E0,2.271607518E-2
1.312549718E0,2.246186696E-2
1.333383840E0,2.225309238E-2
1.354217963E0,2.209273539E-2
1.375052085E0,2.190112136E-2
1.395886208E0,2.164189145E-2
1.416720330E0,2.131946012E-2
1.437554453E0,2.104219794E-2
1.458388575E0,2.078230307E-2
1.479222698E0,2.055733278E-2
1.500056820E0,2.031293511E-2
1.520890943E0,1.982137933E-2
1.541725065E0,1.921986416E-2
1.562559188E0,1.889442839E-2
1.583393310E0,1.892793924E-2
1.604227433E0,1.876589842E-2
1.625061555E0,1.800636388E-2
1.645895678E0,1.718954742E-2
1.666729800E0,1.675448567E-2
1.687563923E0,1.646470465E-2
1.708398045E0,1.604496688E-2
1.729232168E0,1.554736402E-2
1.750066290E0,1.515369676E-2
1.770900413E0,1.478492655E-2
1.791734535E0,1.429070998E-2
1.812568658E0,1.367251948E-2
1.833402780E0,1.305613015E-2
1.854236903E0,1.250223257E-2
1.875071025E0,1.189713366E-2
1.895905148E0,1.125184074E-2
1.916739270E0,1.067540050E-2
1.937573393E0,1.009294391E-2
1.958407515E0,9.390443563E-3
1.979241638E0,8.647107519E-3
2.000075760E0,8.027400821E-3
2.020909883E0,7.483470719E-3
2.041744005E0,6.910385564E-3
2.062578128E0,6.362860557E-3
2.083412250E0,5.741249304E-3
2.104246373E0,5.056097638E-3
2.125080495E0,4.476214759E-3
2.145914618E0,3.853294533E-3
2.166748740E0,3.154648235E-3
2.187582863E0,2.480142051E-3
2.208416985E0,1.799762947E-3
2.229251108E0,1.144762151E-3
2.250085231E0,4.027658433E-4
2.270919353E0,-3.933991538E-4
2.291753476E0,-1.091881422E-3
2.312587598E0,-1.760373125E-3
2.333421721E0,-2.377410885E-3
2.354255843E0,-3.032105276E-3
2.375089966E0,-3.760858905E-3
2.395924088E0,-4.467816092E-3
2.416758211E0,-5.190460943E-3
2.437592333E0,-5.816442892E-3
2.458426456E0,-6.402275525E-3
2.479260578E0,-7.047582418E-3
2.500094701E0,-7.694292348E-3
2.520928823E0,-8.346622810E-3
2.541762946E0,-8.969748393E-3
2.562597068E0,-9.630425833E-3
2.583431191E0,-1.029497571E-2
2.604265313E0,-1.090637874E-2
2.625099436E0,-1.153620798E-2
2.645933558E0,-1.217856817E-2
2.666767681E0,-1.283269934E-2
2.687601803E0,-1.338829100E-2
2.708435926E0,-1.385220233E-2
2.729270048E0,-1.435750723E-2
2.750104171E0,-1.485731732E-2
2.770938293E0,-1.540404931E-2
2.791772416E0,-1.596526243E-2
2.812606538E0,-1.646593958E-2
2.833440661E0,-1.696406677E-2
2.854274783E0,-1.740712672E-2
2.875108906E0,-1.785701141E-2
2.895943028E0,-1.832478493E-2
2.916777151E0,-1.876434684E-2
2.937611273E0,-1.915351115E-2
2.958445396E0,-1.944802701E-2
2.979279518E0,-1.979217306E-2
3.000113641E0,-2.015175857E-2
3.020947763E0,-2.046090923E-2
3.041781886E0,-2.077716030E-2
3.062616008E0,-2.107698098E-2
3.083450131E0,-2.139578387E-2
3.104284253E0,-2.164139971E-2
3.125118376E0,-2.181834914E-2
3.145952498E0,-2.205524594E-2
3.166786621E0,-2.229237929E-2
3.187620743E0,-2.248365805E-2
3.208454866E0,-2.266496979E-2
3.229288988E0,-2.284384891E-2
3.250123111E0,-2.298089117E-2
3.270957233E0,-2.305547521E-2
3.291791356E0,-2.315672673E-2
3.312625478E0,-2.327702940E-2
3.333459601E0,-2.331463993E-2
3.354293723E0,-2.329890803E-2
3.375127846E0,-2.325822227E-2
3.395961968E0,-2.323580720E-2
3.416796091E0,-2.318027616E-2
3.437630213E0,-2.304571867E-2
3.458464336E0,-2.294550091E-2
3.479298458E0,-2.290553600E-2
3.500132581E0,-2.279266343E-2
3.520966703E0,-2.255981416E-2
3.541800826E0,-2.236314863E-2
3.562634948E0,-2.220791206E-2
3.583469071E0,-2.196949162E-2
3.604303193E0,-2.177992463E-2
3.625137316E0,-2.158204280E-2
3.645971438E0,-2.125621773E-2
3.666805561E0,-2.099051327E-2
3.687639683E0,-2.071272209E-2
3.708473806E0,-2.034688182E-2
3.729307928E0,-2.004402131E-2
3.750142051E0,-1.975557394E-2
3.770976173E0,-1.936213300E-2
3.791810296E0,-1.874129288E-2
3.812644418E0,-1.812927239E-2
3.833478541E0,-1.798260398E-2
3.854312663E0,-1.809589006E-2
3.875146786E0,-1.784174889E-2
3.895980908E0,-1.703477278E-2
3.916815031E0,-1.608941704E-2
3.937649153E0,-1.531738602E-2
3.958483276E0,-1.487443410E-2
3.979317398E0,-1.460762694E-2
4.000151521E0,-1.424943563E-2
4.020985643E0,-1.397400349E-2
4.041819766E0,-1.367587876E-2
4.062653888E0,-1.318762917E-2
4.083488011E0,-1.266541705E-2
4.104322133E0,-1.212776080E-2
4.125156256E0,-1.150074229E-2
4.145990378E0,-1.080813259E-2
4.166824501E0,-1.017381065E-2
4.187658623E0,-9.592480026E-3
4.208492746E0,-8.969109505E-3
4.229326868E0,-8.333502337E-3
4.250160991E0,-7.648016326E-3
4.270995113E0,-6.994692143E-3
4.291829236E0,-6.477029063E-3
4.312663358E0,-5.948289298E-3
4.333497481E0,-5.350581836E-3
4.354331603E0,-4.821048584E-3
4.375165726E0,-4.283572081E-3
4.395999848E0,-3.639695002E-3
4.416833971E0,-3.003074788E-3
4.437668093E0,-2.389423549E-3
4.458502216E0,-1.863270532E-3
4.479336338E0,-1.351597253E-3
4.500170461E0,-6.595006562E-4
4.521004584E0,3.111872502E-5
4.541838706E0,6.384946173E-4
4.562672829E0,1.307685627E-3
4.583506951E0,1.975439023E-3
4.604341074E0,2.585024573E-3
4.625175196E0,3.201453481E-3
4.646009319E0,3.874721471E-3
4.666843441E0,4.590662662E-3
4.687677564E0,5.271998700E-3
4.708511686E0,5.857454613E-3
4.729345809E0,6.384959910E-3
4.750179931E0,6.935453042E-3
4.771014054E0,7.426450029E-3
4.791848176E0,7.910227403E-3
4.812682299E0,8.537342772E-3
4.833516421E0,9.162929840E-3
4.854350544E0,9.716222994E-3
4.875184666E0,1.031836867E-2
4.896018789E0,1.098441146E-2
4.916852911E0,1.163033396E-2
4.937687034E0,1.210376155E-2
4.958521156E0,1.248165965E-2
4.979355279E0,1.297177095E-2
5.000189401E0,1.356778108E-2
5.021023524E0,1.411516592E-2
5.041857646E0,1.452097856E-2
5.062691769E0,1.493722480E-2
5.083525891E0,1.543218642E-2
5.104360014E0,1.594098285E-2
5.125194136E0,1.639041677E-2
5.146028259E0,1.674209163E-2
5.166862381E0,1.714915223E-2
5.187696504E0,1.763483137E-2
5.208530626E0,1.807804592E-2
5.229364749E0,1.842380315E-2
5.250198871E0,1.877936348E-2
5.271032994E0,1.915256679E-2
5.291867116E0,1.946393028E-2
5.312701239E0,1.982279308E-2
5.333535361E0,2.016825229E-2
5.354369484E0,2.043842338E-2
5.375203606E0,2.075646073E-2
5.396037729E0,2.106567658E-2
5.416871851E0,2.130908147E-2
5.437705974E0,2.157576010E-2
5.458540096E0,2.183098719E-2
5.479374219E0,2.203874849E-2
5.500208341E0,2.226953581E-2
5.521042464E0,2.243970707E-2
5.541876586E0,2.256213501E-2
5.562710709E0,2.276059985E-2
5.583544831E0,2.288547158E-2
5.604378954E0,2.297205105E-2
5.625213076E0,2.308756486E-2
5.646047199E0,2.309260704E-2
5.666881321E0,2.311831899E-2
5.687715444E0,2.319965884E-2
5.708549566E0,2.318069153E-2
5.729383689E0,2.312050201E-2
5.750217811E0,2.309728041E-2
5.771051934E0,2.308071405E-2
