"Time (ms)","Recording (a.u.)"
0.000000000E0,2.227074583E-5
2.083412250E-2,1.733110636E-3
4.166824501E-2,3.552845446E-3
6.250236751E-2,5.384086166E-3
8.333649002E-2,7.237127051E-3
1.041706125E-1,9.093506262E-3
1.250047350E-1,1.099330653E-2
1.458388575E-1,1.303801499E-2
1.666729800E-1,1.518003829E-2
1.875071025E-1,1.731549203E-2
2.083412250E-1,1.924137585E-2
2.291753476E-1,2.122441307E-2
2.500094701E-1,2.349101380E-2
2.708435926E-1,2.558032423E-2
2.916777151E-1,2.756893262E-2
3.125118376E-1,2.974631265E-2
3.333459601E-1,3.191914037E-2
3.541800826E-1,3.406161815E-2
3.750142051E-1,3.620938212E-2
3.958483276E-1,3.839337453E-2
4.166824501E-1,4.065733403E-2
4.375165726E-1,4.287185520E-2
4.583506951E-1,4.486393183E-2
4.791848176E-1,4.661661386E-2
5.000189401E-1,4.843601584E-2
5.208530626E-1,5.035705119E-2
5.416871851E-1,5.219691992E-2
5.625213076E-1,5.401054770E-2
5.833554301E-1,5.569739640E-2
6.041895526E-1,5.725418776E-2
6.250236751E-1,5.881130323E-2
6.458577976E-1,6.028073654E-2
6.666919201E-1,6.156290323E-2
6.875260427E-1,6.276189536E-2
7.083601652E-1,6.400540471E-2
7.291942877E-1,6.509087235E-2
7.500284102E-1,6.600360572E-2
7.708625327E-1,6.689386070E-2
7.916966552E-1,6.769122928E-2
8.125307777E-1,6.844653189E-2
8.333649002E-1,6.918579340E-2
8.541990227E-1,6.984469295E-2
8.750331452E-1,7.040879130E-2
8.958672677E-1,7.096321136E-2
9.167013902E-1,7.154836506E-2
9.375355127E-1,7.206842303E-2
9.583696352E-1,7.256795466E-2
9.792037577E-1,7.300934196E-2
1.000037880E0,7.333045453E-2
1.020872003E0,7.351218164E-2
1.041706125E0,7.364914566E-2
1.062540248E0,7.388847321E-2
1.083374370E0,7.410778105E-2
1.104208493E0,7.430669665E-2
1.125042615E0,7.451529056E-2
1.145876738E0,7.454010844E-2
1.166710860E0,7.438732684E-2
1.187544983E0,7.424629480E-2
1.208379105E0,7.416127622E-2
1.229213228E0,7.397323847E-2
1.250047350E0,7.358975708E-2
1.270881473E0,7.313997298E-2
1.291715595E0,7.276767492E-2
1.312549718E0,7.241685688E-2
1.333383840E0,7.191730291E-2
1.354217963E0,7.119338959E-2
1.375052085E0,7.035821676E-2
1.395886208E0,6.958302110E-2
1.416720330E0,6.875046343E-2
1.437554453E0,6.771122664E-2
1.458388575E0,6.661298871E-2
1.479222698E0,6.548329443E-2
1.500056820E0,6.419628859E-2
1.520890943E0,6.265410781E-2
1.541725065E0,6.084626913E-2
1.562559188E0,5.905981734E-2
1.583393310E0,5.730733648E-2
1.604227433E0,5.536329001E-2
1.625061555E0,5.345676094E-2
1.645895678E0,5.165903643E-2
1.666729800E0,4.972424731E-2
1.687563923E0,4.758772627E-2
1.708398045E0,4.546058923E-2
1.729232168E0,4.340360314E-2
1.750066290E0,4.126939923E-2
1.770900413E0,3.917119280E-2
1.791734535E0,3.718935698E-2
1.812568658E0,3.516136110E-2
1.833402780E0,3.307065740E-2
1.854236903E0,3.110434115E-2
1.875071025E0,2.930968255E-2
1.895905148E0,2.754743770E-2
1.916739270E0,2.576719224E-2
1.937573393E0,2.402598038E-2
1.958407515E0,2.236877382E-2
1.979241638E0,2.071014047E-2
2.000075760E0,1.902666129E-2
2.020909883E0,1.737521403E-2
2.041744005E0,1.572353207E-2
2.062578128E0,1.408452354E-2
2.083412250E0,1.249430329E-2
2.104246373E0,1.096247509E-2
2.125080495E0,9.312350303E-3
2.145914618E0,7.555562072E-3
2.166748740E0,5.935038906E-3
2.187582863E0,4.330745433E-3
2.208416985E0,2.696752315E-3
2.229251108E0,1.060336479E-3
2.250085231E0,-6.961168256E-4
2.270919353E0,-2.510577906E-3
2.291753476E0,-4.329540767E-3
2.312587598E0,-6.045588292E-3
2.333421721E0,-7.657195441E-3
2.354255843E0,-9.396019392E-3
2.375089966E0,-1.120526344E-2
2.395924088E0,-1.306659542E-2
2.416758211E0,-1.500080898E-2
2.437592333E0,-1.673590019E-2
2.458426456E0,-1.837143302E-2
2.479260578E0,-2.020688355E-2
2.500094701E0,-2.216839977E-2
2.520928823E0,-2.395901084E-2
2.541762946E0,-2.560320683E-2
2.562597068E0,-2.749127895E-2
2.583431191E0,-2.946270257E-2
2.604265313E0,-3.118624538E-2
2.625099436E0,-3.292524815E-2
2.645933558E0,-3.483293951E-2
2.666767681E0,-3.668887168E-2
2.687601803E0,-3.839784116E-2
2.708435926E0,-4.005432874E-2
2.729270048E0,-4.176713526E-2
2.750104171E0,-4.345748574E-2
2.770938293E0,-4.507797956E-2
2.791772416E0,-4.676297307E-2
2.812606538E0,-4.846092314E-2
2.833440661E0,-4.999404773E-2
2.854274783E0,-5.152338743E-2
2.875108906E0,-5.312094092E-2
2.895943028E0,-5.459008366E-2
2.916777151E0,-5.596733838E-2
2.937611273E0,-5.734811723E-2
2.958445396E0,-5.868176371E-2
2.979279518E0,-5.995232612E-2
3.000113641E0,-6.116515398E-2
3.020947763E0,-6.217601895E-2
3.041781886E0,-6.303349137E-2
3.062616008E0,-6.398911774E-2
3.083450131E0,-6.490702927E-2
3.104284253E0,-6.557974964E-2
3.125118376E0,-6.607989967E-2
3.145952498E0,-6.648866087E-2
3.166786621E0,-6.675100327E-2
3.187620743E0,-6.695592403E-2
3.208454866E0,-6.719344854E-2
3.229288988E0,-6.725405157E-2
3.250123111E0,-6.717792153E-2
3.270957233E0,-6.714408100E-2
3.291791356E0,-6.707314402E-2
3.312625478E0,-6.695282459E-2
3.333459601E0,-6.681196392E-2
3.354293723E0,-6.669372320E-2
3.375127846E0,-6.658765674E-2
3.395961968E0,-6.639981270E-2
3.416796091E0,-6.623461843E-2
3.437630213E0,-6.613302976E-2
3.458464336E0,-6.596609205E-2
3.479298458E0,-6.578842551E-2
3.500132581E0,-6.570380926E-2
3.520966703E0,-6.574287266E-2
3.541800826E0,-6.583093107E-2
3.562634948E0,-6.584113836E-2
3.583469071E0,-6.576698273E-2
3.604303193E0,-6.566118449E-2
3.625137316E0,-6.565891206E-2
3.645971438E0,-6.573386490E-2
3.666805561E0,-6.574552506E-2
3.687639683E0,-6.572866440E-2
3.708473806E0,-6.559789926E-2
3.729307928E0,-6.529590487E-2
3.750142051E0,-6.497103721E-2
3.770976173E0,-6.453592330E-2
3.791810296E0,-6.378038228E-2
3.812644418E0,-6.282231212E-2
3.833478541E0,-6.194053590E-2
3.854312663E0,-6.112076342E-2
3.875146786E0,-6.005337089E-2
3.895980908E0,-5.870727450E-2
3.916815031E0,-5.720580369E-2
3.937649153E0,-5.558117479E-2
3.958483276E0,-5.387888849E-2
3.979317398E0,-5.195102096E-2
4.000151521E0,-4.982142895E-2
4.020985643E0,-4.767857492E-2
4.041819766E0,-4.550985992E-2
4.062653888E0,-4.338701069E-2
4.083488011E0,-4.125098884E-2
4.104322133E0,-3.897725046E-2
4.125156256E0,-3.661614656E-2
4.145990378E0,-3.421039507E-2
4.166824501E0,-3.191283718E-2
4.187658623E0,-2.968939766E-2
4.208492746E0,-2.736882865E-2
4.229326868E0,-2.515464276E-2
4.250160991E0,-2.319335565E-2
4.270995113E0,-2.116732486E-2
4.291829236E0,-1.911635883E-2
4.312663358E0,-1.732066460E-2
4.333497481E0,-1.557925809E-2
4.354331603E0,-1.379232295E-2
4.375165726E0,-1.210195199E-2
4.395999848E0,-1.054333709E-2
4.416833971E0,-9.067704901E-3
4.437668093E0,-7.584575564E-3
4.458502216E0,-6.060014479E-3
4.479336338E0,-4.482113291E-3
4.500170461E0,-3.005627776E-3
4.521004584E0,-1.577244257E-3
4.541838706E0,6.574857980E-5
4.562672829E0,1.743592089E-3
4.583506951E0,3.382787574E-3
4.604341074E0,5.109795835E-3
4.625175196E0,6.884823553E-3
4.646009319E0,8.657649159E-3
4.666843441E0,1.047778409E-2
4.687677564E0,1.244630292E-2
4.708511686E0,1.441578846E-2
4.729345809E0,1.636669040E-2
4.750179931E0,1.841832884E-2
4.771014054E0,2.050803043E-2
4.791848176E0,2.268286049E-2
4.812682299E0,2.487579733E-2
4.833516421E0,2.692007460E-2
4.854350544E0,2.897885814E-2
4.875184666E0,3.113503009E-2
4.896018789E0,3.320023417E-2
4.916852911E0,3.521273285E-2
4.937687034E0,3.732511401E-2
4.958521156E0,3.943395615E-2
4.979355279E0,4.139326513E-2
5.000189401E0,4.325652495E-2
5.021023524E0,4.507908598E-2
5.041857646E0,4.685674608E-2
5.062691769E0,4.862890393E-2
5.083525891E0,5.031743646E-2
5.104360014E0,5.193267763E-2
5.125194136E0,5.358173326E-2
5.146028259E0,5.526329204E-2
5.166862381E0,5.688346922E-2
5.187696504E0,5.829760060E-2
5.208530626E0,5.946241319E-2
5.229364749E0,6.057155132E-2
5.250198871E0,6.174664944E-2
5.271032994E0,6.276968867E-2
5.291867116E0,6.362020969E-2
5.312701239E0,6.457047164E-2
5.333535361E0,6.560615450E-2
5.354369484E0,6.654193252E-2
5.375203606E0,6.729857624E-2
5.396037729E0,6.790730357E-2
5.416871851E0,6.849238276E-2
5.437705974E0,6.913731992E-2
5.458540096E0,6.966762990E-2
5.479374219E0,7.000689954E-2
5.500208341E0,7.034708560E-2
5.521042464E0,7.062515616E-2
5.541876586E0,7.082269341E-2
5.562710709E0,7.100930065E-2
5.583544831E0,7.120931149E-2
5.604378954E0,7.149885595E-2
5.625213076E0,7.174168527E-2
5.646047199E0,7.192558795E-2
5.666881321E0,7.208681107E-2
5.687715444E0,7.211590558E-2
5.708549566E0,7.211440802E-2
5.729383689E0,7.211954147E-2
5.750217811E0,7.195201516E-2
5.771051934E0,7.160574198E-2
5.791886056E0,7.119119167E-2
5.812720179E0,7.070888579E-2
5.833554301E0,7.022082806E-2
5.854388424E0,6.971159577E-2
5.875222546E0,6.917083263E-2
5.896056669E0,6.857925653E-2
5.916890791E0,6.783707440E-2
5.937724914E0,6.697149575E-2
5.958559036E0,6.609262526E-2
5.979393159E0,6.517314911E-2
6.000227281E0,6.399933249E-2
6.021061404E0,6.269299984E-2
6.041895526E0,6.144794449E-2
6.062729649E0,6.007244810E-2
6.083563771E0,5.853082985E-2
6.104397894E0,5.685520917E-2
6.125232016E0,5.510060489E-2
6.146066139E0,5.333186686E-2
6.166900261E0,5.145375803E-2
6.187734384E0,4.946941137E-2
6.208568506E0,4.733611271E-2
6.229402629E0,4.512890801E-2
6.250236751E0,4.306431860E-2
6.271070874E0,4.109253362E-2
6.291904996E0,3.901054710E-2
6.312739119E0,3.676906973E-2
6.333573241E0,3.455765545E-2
6.354407364E0,3.256705403E-2
6.375241486E0,3.060954809E-2
6.396075609E0,2.857267857E-2
6.416909731E0,2.667711675E-2
6.437743854E0,2.483614534E-2
6.458577976E0,2.296193317E-2
6.479412099E0,2.113591135E-2
6.500246221E0,1.937226206E-2
6.521080344E0,1.768514141E-2
6.541914466E0,1.604204252E-2
6.562748589E0,1.444253046E-2
6.583582711E0,1.288260706E-2
6.604416834E0,1.132458169E-2
6.625250956E0,9.695217945E-3
6.646085079E0,8.010875434E-3
6.666919201E0,6.332051009E-3
6.687753324E0,4.628749564E-3
6.708587446E0,2.970338799E-3
6.729421569E0,1.219670405E-3
6.750255692E0,-5.609641084E-4
6.771089814E0,-2.078745980E-3
6.791923937E0,-3.605908714E-3
6.812758059E0,-5.316302180E-3
6.833592182E0,-7.031476125E-3
6.854426304E0,-8.645858616E-3
6.875260427E0,-1.030572131E-2
6.896094549E0,-1.215505879E-2
6.916928672E0,-1.391523331E-2
6.937762794E0,-1.551836915E-2
6.958596917E0,-1.727505028E-2
6.979431039E0,-1.916097663E-2
7.000265162E0,-2.093532495E-2
7.021099284E0,-2.264522575E-2
7.041933407E0,-2.445461974E-2
7.062767529E0,-2.633354068E-2
7.083601652E0,-2.810112201E-2
7.104435774E0,-2.978185564E-2
7.125269897E0,-3.158448637E-2
7.146104019E0,-3.346638009E-2
7.166938142E0,-3.535430133E-2
7.187772264E0,-3.717312962E-2
7.208606387E0,-3.884398937E-2
7.229440509E0,-4.053045809E-2
7.250274632E0,-4.225821421E-2
7.271108754E0,-4.390849173E-2
7.291942877E0,-4.552182555E-2
7.312776999E0,-4.706814140E-2
7.333611122E0,-4.847943410E-2
7.354445244E0,-4.996122047E-2
7.375279367E0,-5.157669634E-2
7.396113489E0,-5.306053162E-2
7.416947612E0,-5.438493937E-2
7.437781734E0,-5.573455989E-2
7.458615857E0,-5.723109469E-2
7.479449979E0,-5.873176455E-2
7.500284102E0,-6.000891328E-2
7.521118224E0,-6.117221341E-2
7.541952347E0,-6.228886545E-2
7.562786469E0,-6.326928735E-2
7.583620592E0,-6.410638243E-2
7.604454714E0,-6.490720063E-2
7.625288837E0,-6.571039557E-2
7.646122959E0,-6.635762751E-2
7.666957082E0,-6.689425558E-2
7.687791204E0,-6.737734377E-2
7.708625327E0,-6.775981188E-2
7.729459449E0,-6.797415763E-2
7.750293572E0,-6.795783341E-2
7.771127694E0,-6.797454506E-2
7.791961817E0,-6.804580241E-2
7.812795939E0,-6.792952120E-2
7.833630062E0,-6.764569879E-2
7.854464184E0,-6.732386351E-2
7.875298307E0,-6.714791805E-2
7.896132429E0,-6.700721383E-2
7.916966552E0,-6.667879224E-2
7.937800674E0,-6.641553342E-2
7.958634797E0,-6.624500453E-2
7.979468919E0,-6.601489335E-2
8.000303042E0,-6.580124050E-2
8.021137164E0,-6.548424810E-2
8.041971287E0,-6.515938789E-2
8.062805409E0,-6.507448852E-2
8.083639532E0,-6.504445523E-2
8.104473654E0,-6.494100392E-2
8.125307777E0,-6.484952569E-2
8.146141899E0,-6.478872895E-2
8.166976022E0,-6.472489238E-2
8.187810144E0,-6.442471594E-2
8.208644267E0,-6.403449178E-2
8.229478389E0,-6.389411539E-2
8.250312512E0,-6.377363950E-2
8.271146634E0,-6.349123269E-2
8.291980757E0,-6.310313940E-2
8.312814879E0,-6.267613918E-2
8.333649002E0,-6.217225268E-2
8.354483124E0,-6.143042445E-2
8.375317247E0,-6.047438085E-2
8.396151369E0,-5.935862660E-2
8.416985492E0,-5.822358280E-2
8.437819614E0,-5.706266686E-2
8.458653737E0,-5.573321879E-2
8.479487859E0,-5.422697216E-2
8.500321982E0,-5.249457061E-2
8.521156104E0,-5.062307417E-2
8.541990227E0,-4.862006009E-2
8.562824349E0,-4.652450606E-2
8.583658472E0,-4.435606301E-2
8.604492594E0,-4.198359698E-2
8.625326717E0,-3.953421861E-2
8.646160839E0,-3.711408004E-2
8.666994962E0,-3.471222892E-2
8.687829084E0,-3.234804422E-2
8.708663207E0,-3.003346547E-2
8.729497329E0,-2.768781036E-2
8.750331452E0,-2.529905178E-2
8.771165574E0,-2.299794182E-2
8.791999697E0,-2.084354311E-2
8.812833819E0,-1.878109947E-2
8.833667942E0,-1.675228402E-2
8.854502064E0,-1.479521301E-2
8.875336187E0,-1.291700080E-2
8.896170309E0,-1.125124656E-2
8.917004432E0,-9.685096331E-3
8.937838554E0,-7.934395224E-3
8.958672677E0,-6.222296506E-3
8.979506799E0,-4.743831232E-3
9.000340922E0,-3.302586032E-3
9.021175045E0,-1.700642402E-3
9.042009167E0,-5.741129280E-5
9.062843290E0,1.552951988E-3
9.083677412E0,3.200938925E-3
9.104511535E0,4.819591530E-3
9.125345657E0,6.472148933E-3
9.146179780E0,8.236505091E-3
9.167013902E0,1.005196385E-2
9.187848025E0,1.181357540E-2
9.208682147E0,1.352371834E-2
9.229516270E0,1.537896134E-2
9.250350392E0,1.736139879E-2
9.271184515E0,1.922627166E-2
9.292018637E0,2.105234191E-2
9.312852760E0,2.304245159E-2
9.333686882E0,2.509642951E-2
9.354521005E0,2.716028877E-2
9.375355127E0,2.928067371E-2
9.396189250E0,3.141754866E-2
9.417023372E0,3.353848681E-2
9.437857495E0,3.560568392E-2
9.458691617E0,3.772844374E-2
9.479525740E0,3.992219269E-2
9.500359862E0,4.203963280E-2
9.521193985E0,4.402070493E-2
9.542028107E0,4.590794072E-2
9.562862230E0,4.784701765E-2
9.583696352E0,4.979000986E-2
9.604530475E0,5.162533745E-2
9.625364597E0,5.341944098E-2
9.646198720E0,5.515749007E-2
9.667032842E0,5.681579933E-2
9.687866965E0,5.842956156E-2
9.708701087E0,5.993252993E-2
9.729535210E0,6.126484647E-2
9.750369332E0,6.250546128E-2
9.771203455E0,6.369785964E-2
9.792037577E0,6.482410431E-2
9.812871700E0,6.592231989E-2
9.833705822E0,6.699545681E-2
9.854539945E0,6.796004623E-2
9.875374067E0,6.879180670E-2
9.896208190E0,6.956689060E-2
9.917042312E0,7.030581683E-2
9.937876435E0,7.092152536E-2
9.958710557E0,7.139684260E-2
9.979544680E0,7.185623050E-2
1.000037880E1,7.232788205E-2
1.002121292E1,7.271365821E-2
1.004204705E1,7.306118309E-2
1.006288117E1,7.341936976E-2
1.008371529E1,7.367299497E-2
1.010454941E1,7.383465767E-2
1.012538354E1,7.404956967E-2
1.014621766E1,7.420363277E-2
1.016705178E1,7.414357364E-2
1.018788590E1,7.408568263E-2
1.020872003E1,7.413809001E-2
1.022955415E1,7.413891703E-2
1.025038827E1,7.397530973E-2
1.027122239E1,7.369653881E-2
1.029205652E1,7.351264358E-2
1.031289064E1,7.335041463E-2
1.033372476E1,7.303337008E-2
1.035455888E1,7.263375074E-2
1.037539301E1,7.227235287E-2
1.039622713E1,7.190497220E-2
1.041706125E1,7.127998024E-2
1.043789537E1,7.047145814E-2
1.045872950E1,6.970518827E-2
1.047956362E1,6.887947023E-2
1.050039774E1,6.787703186E-2
1.052123186E1,6.681219488E-2
1.054206599E1,6.587307155E-2
1.056290011E1,6.486386061E-2
1.058373423E1,6.348347664E-2
1.060456835E1,6.204625964E-2
1.062540248E1,6.072772667E-2
1.064623660E1,5.919129029E-2
1.066707072E1,5.727785081E-2
1.068790484E1,5.511839688E-2
1.070873897E1,5.304297805E-2
1.072957309E1,5.106422305E-2
1.075040721E1,4.892510921E-2
1.077124133E1,4.673342779E-2
1.079207546E1,4.461194947E-2
1.081290958E1,4.246967658E-2
1.083374370E1,4.016925767E-2
1.085457782E1,3.793544322E-2
1.087541195E1,3.592681512E-2
1.089624607E1,3.372924030E-2
1.091708019E1,3.143073618E-2
1.093791431E1,2.941727266E-2
1.095874844E1,2.754744329E-2
1.097958256E1,2.559281327E-2
1.100041668E1,2.358059585E-2
1.102125080E1,2.176094241E-2
1.104208493E1,2.013692632E-2
1.106291905E1,1.837906986E-2
1.108375317E1,1.642319374E-2
1.110458729E1,1.449605264E-2
1.112542142E1,1.270041522E-2
1.114625554E1,1.096041501E-2
1.116708966E1,9.196448140E-3
1.118792378E1,7.473838981E-3
1.120875791E1,5.806687288E-3
1.122959203E1,4.092749208E-3
1.125042615E1,2.399401274E-3
1.127126028E1,7.233417127E-4
1.129209440E1,-1.028395491E-3
1.131292852E1,-2.881198190E-3
1.133376264E1,-4.694156349E-3
1.135459677E1,-6.370449904E-3
1.137543089E1,-8.083974943E-3
1.139626501E1,-9.711244144E-3
1.141709913E1,-1.129905879E-2
1.143793326E1,-1.309300587E-2
1.145876738E1,-1.489613950E-2
1.147960150E1,-1.662794501E-2
1.150043562E1,-1.830080524E-2
1.152126975E1,-2.005718648E-2
1.154210387E1,-2.189945057E-2
1.156293799E1,-2.358870581E-2
1.158377211E1,-2.529328689E-2
1.160460624E1,-2.706413344E-2
1.162544036E1,-2.882270887E-2
1.164627448E1,-3.061477467E-2
1.166710860E1,-3.240479529E-2
1.168794273E1,-3.428377211E-2
1.170877685E1,-3.615412116E-2
1.172961097E1,-3.779746592E-2
1.175044509E1,-3.942955658E-2
1.177127922E1,-4.116063938E-2
1.179211334E1,-4.286728054E-2
1.181294746E1,-4.452907294E-2
1.183378158E1,-4.619050398E-2
1.185461571E1,-4.789450765E-2
1.187544983E1,-4.959441721E-2
1.189628395E1,-5.124933273E-2
1.191711807E1,-5.288120359E-2
1.193795220E1,-5.444453284E-2
1.195878632E1,-5.596107990E-2
1.197962044E1,-5.742562562E-2
1.200045456E1,-5.881762505E-2
1.202128869E1,-6.017288938E-2
1.204212281E1,-6.145498902E-2
1.206295693E1,-6.265635788E-2
1.208379105E1,-6.377163529E-2
1.210462518E1,-6.485150754E-2
1.212545930E1,-6.587231904E-2
1.214629342E1,-6.675239652E-2
1.216712754E1,-6.762342900E-2
1.218796167E1,-6.846405566E-2
1.220879579E1,-6.903842092E-2
1.222962991E1,-6.945082545E-2
1.225046403E1,-6.986515224E-2
1.227129816E1,-7.012428343E-2
1.229213228E1,-7.018474489E-2
1.231296640E1,-7.016269863E-2
1.233380052E1,-7.005824149E-2
1.235463465E1,-6.983059645E-2
1.237546877E1,-6.954877824E-2
1.239630289E1,-6.928513944E-2
1.241713701E1,-6.908012927E-2
1.243797114E1,-6.894018501E-2
1.245880526E1,-6.880638003E-2
1.247963938E1,-6.858492643E-2
1.250047350E1,-6.822285056E-2
1.252130763E1,-6.788963079E-2
1.254214175E1,-6.768852472E-2
1.256297587E1,-6.744895875E-2
1.258380999E1,-6.715022027E-2
1.260464412E1,-6.688266248E-2
1.262547824E1,-6.669741869E-2
1.264631236E1,-6.656418741E-2
1.266714648E1,-6.639254093E-2
1.268798061E1,-6.629398465E-2
1.270881473E1,-6.623655558E-2
1.272964885E1,-6.617464125E-2
1.275048297E1,-6.620755047E-2
1.277131710E1,-6.620499492E-2
1.279215122E1,-6.597153842E-2
1.281298534E1,-6.554655731E-2
1.283381946E1,-6.518334895E-2
1.285465359E1,-6.478919834E-2
1.287548771E1,-6.417106837E-2
1.289632183E1,-6.346957386E-2
1.291715595E1,-6.275045127E-2
1.293799008E1,-6.188739836E-2
1.295882420E1,-6.068465859E-2
1.297965832E1,-5.927388370E-2
1.300049244E1,-5.785126239E-2
1.302132657E1,-5.636848509E-2
1.304216069E1,-5.472019315E-2
1.306299481E1,-5.278905854E-2
1.308382893E1,-5.068666488E-2
1.310466306E1,-4.852538183E-2
1.312549718E1,-4.630804062E-2
1.314633130E1,-4.407940432E-2
1.316716542E1,-4.171567410E-2
1.318799955E1,-3.924880177E-2
1.320883367E1,-3.688917682E-2
1.322966779E1,-3.454301134E-2
1.325050191E1,-3.206829727E-2
1.327133604E1,-2.967640758E-2
1.329217016E1,-2.748630941E-2
1.331300428E1,-2.526034787E-2
1.333383840E1,-2.298378944E-2
1.335467253E1,-2.087493241E-2
1.337550665E1,-1.884896867E-2
1.339634077E1,-1.683009788E-2
1.341717489E1,-1.487220079E-2
1.343800902E1,-1.299164817E-2
1.345884314E1,-1.123784389E-2
1.347967726E1,-9.525612928E-3
1.350051138E1,-7.803063840E-3
1.352134551E1,-6.122366525E-3
1.354217963E1,-4.491346423E-3
1.356301375E1,-2.869287739E-3
1.358384787E1,-1.174680656E-3
1.360468200E1,4.980706144E-4
1.362551612E1,2.083640080E-3
1.364635024E1,3.771856893E-3
1.366718436E1,5.593502428E-3
1.368801849E1,7.327373605E-3
1.370885261E1,8.937446401E-3
1.372968673E1,1.065639406E-2
1.375052085E1,1.254560798E-2
1.377135498E1,1.437996607E-2
1.379218910E1,1.618816331E-2
1.381302322E1,1.822327822E-2
1.383385734E1,2.030936815E-2
1.385469147E1,2.236289904E-2
1.387552559E1,2.448460832E-2
1.389635971E1,2.652337775E-2
1.391719383E1,2.857339196E-2
1.393802796E1,3.069377504E-2
1.395886208E1,3.280595690E-2
1.397969620E1,3.496624529E-2
1.400053032E1,3.704862297E-2
1.402136445E1,3.910823166E-2
1.404219857E1,4.124566913E-2
1.406303269E1,4.328778386E-2
1.408386681E1,4.528868943E-2
1.410470094E1,4.736674577E-2
1.412553506E1,4.951267689E-2
1.414636918E1,5.148438364E-2
1.416720330E1,5.318066478E-2
1.418803743E1,5.491677299E-2
1.420887155E1,5.662121624E-2
1.422970567E1,5.817632750E-2
1.425053979E1,5.974772573E-2
1.427137392E1,6.124888361E-2
1.429220804E1,6.262202561E-2
1.431304216E1,6.393912435E-2
1.433387628E1,6.520300359E-2
1.435471041E1,6.639126688E-2
1.437554453E1,6.743305922E-2
1.439637865E1,6.835274398E-2
1.441721277E1,6.924724579E-2
1.443804690E1,7.016256452E-2
1.445888102E1,7.108442485E-2
1.447971514E1,7.187577337E-2
1.450054926E1,7.254861295E-2
1.452138339E1,7.317898422E-2
1.454221751E1,7.361966372E-2
1.456305163E1,7.404473424E-2
1.458388575E1,7.453900576E-2
1.460471988E1,7.494008541E-2
1.462555400E1,7.528049499E-2
1.464638812E1,7.542861998E-2
1.466722224E1,7.553426921E-2
1.468805637E1,7.578152418E-2
1.470889049E1,7.596039772E-2
1.472972461E1,7.603169233E-2
1.475055873E1,7.610321790E-2
1.477139286E1,7.619629800E-2
1.479222698E1,7.614400983E-2
1.481306110E1,7.591922581E-2
1.483389522E1,7.571378350E-2
1.485472935E1,7.551728934E-2
1.487556347E1,7.524001598E-2
1.489639759E1,7.483784854E-2
1.491723171E1,7.436264306E-2
1.493806584E1,7.387329638E-2
1.495889996E1,7.331483066E-2
1.497973408E1,7.275563478E-2
1.500056820E1,7.219287008E-2
1.502140233E1,7.154406607E-2
1.504223645E1,7.072723657E-2
1.506307057E1,6.971649826E-2
1.508390469E1,6.864374131E-2
1.510473882E1,6.745982915E-2
1.512557294E1,6.606939435E-2
1.514640706E1,6.456245482E-2
