"Time (ms)","Recording (a.u.)"
0.000000000E0,1.663027098E-3
2.083412250E-2,3.589702537E-3
4.166824501E-2,5.349409766E-3
6.250236751E-2,7.024941500E-3
8.333649002E-2,8.614469320E-3
1.041706125E-1,1.004155166E-2
1.250047350E-1,1.132904924E-2
1.458388575E-1,1.247073151E-2
1.666729800E-1,1.349648368E-2
1.875071025E-1,1.438277587E-2
2.083412250E-1,1.509953849E-2
2.291753476E-1,1.569839939E-2
2.500094701E-1,1.615686528E-2
2.708435926E-1,1.642118394E-2
2.916777151E-1,1.651140302E-2
3.125118376E-1,1.650641859E-2
3.333459601E-1,1.640714705E-2
3.541800826E-1,1.616927981E-2
3.750142051E-1,1.585837826E-2
3.958483276E-1,1.545095257E-2
4.166824501E-1,1.484023780E-2
4.375165726E-1,1.406004559E-2
4.583506951E-1,1.316574030E-2
4.791848176E-1,1.214695722E-2
5.000189401E-1,1.096643507E-2
5.208530626E-1,9.629294276E-3
5.416871851E-1,8.168582805E-3
5.625213076E-1,6.628448144E-3
5.833554301E-1,5.062920973E-3
6.041895526E-1,3.486054949E-3
6.250236751E-1,1.901635551E-3
6.458577976E-1,3.369307960E-4
6.666919201E-1,-1.237410353E-3
6.875260427E-1,-2.776065841E-3
7.083601652E-1,-4.214565735E-3
7.291942877E-1,-5.614626221E-3
7.500284102E-1,-6.963497028E-3
7.708625327E-1,-8.231683634E-3
7.916966552E-1,-9.486810304E-3
8.125307777E-1,-1.069646142E-2
8.333649002E-1,-1.181160193E-2
8.541990227E-1,-1.288491488E-2
8.750331452E-1,-1.388793066E-2
8.958672677E-1,-1.475750282E-2
9.167013902E-1,-1.555767842E-2
9.375355127E-1,-1.639745571E-2
9.583696352E-1,-1.724130288E-2
9.792037577E-1,-1.804416627E-2
1.000037880E0,-1.882785186E-2
1.020872003E0,-1.958803646E-2
1.041706125E0,-2.028958313E-2
1.062540248E0,-2.089092880E-2
1.083374370E0,-2.139975689E-2
1.104208493E0,-2.184128948E-2
1.125042615E0,-2.217392623E-2
1.145876738E0,-2.234876528E-2
1.166710860E0,-2.239895985E-2
1.187544983E0,-2.233439498E-2
1.208379105E0,-2.212011069E-2
1.229213228E0,-2.179672569E-2
1.250047350E0,-2.139479667E-2
1.270881473E0,-2.086294256E-2
1.291715595E0,-2.020183392E-2
1.312549718E0,-1.945441961E-2
1.333383840E0,-1.861616969E-2
1.354217963E0,-1.758390665E-2
1.375052085E0,-1.635117456E-2
1.395886208E0,-1.504597068E-2
1.416720330E0,-1.368944347E-2
1.437554453E0,-1.220492274E-2
1.458388575E0,-1.059658639E-2
1.479222698E0,-8.903557435E-3
1.500056820E0,-7.103228942E-3
1.520890943E0,-5.275655072E-3
1.541725065E0,-3.488060087E-3
1.562559188E0,-1.681998838E-3
1.583393310E0,2.052441996E-4
1.604227433E0,2.118374920E-3
1.625061555E0,3.961398266E-3
1.645895678E0,5.751801189E-3
1.666729800E0,7.478832267E-3
1.687563923E0,9.096250869E-3
1.708398045E0,1.059963182E-2
1.729232168E0,1.198231243E-2
1.750066290E0,1.324145310E-2
1.770900413E0,1.435179822E-2
1.791734535E0,1.536901575E-2
1.812568658E0,1.632139087E-2
1.833402780E0,1.717591658E-2
1.854236903E0,1.799171790E-2
1.875071025E0,1.882884279E-2
1.895905148E0,1.966452226E-2
1.916739270E0,2.040319331E-2
1.937573393E0,2.103191242E-2
1.958407515E0,2.158766985E-2
1.979241638E0,2.204174548E-2
2.000075760E0,2.235138044E-2
2.020909883E0,2.249794081E-2
2.041744005E0,2.252108604E-2
2.062578128E0,2.242023870E-2
