"Time (ms)","Recording (a.u.)"
0.000000000E0,7.691532373E-4
2.083412250E-2,2.005730290E-3
4.166824501E-2,3.263865132E-3
6.250236751E-2,4.560430069E-3
8.333649002E-2,5.805829540E-3
1.041706125E-1,7.027134299E-3
1.250047350E-1,8.284854703E-3
1.458388575E-1,9.582845494E-3
1.666729800E-1,1.087260433E-2
1.875071025E-1,1.211106870E-2
2.083412250E-1,1.337035280E-2
2.291753476E-1,1.462643780E-2
2.500094701E-1,1.581710577E-2
2.708435926E-1,1.699757949E-2
2.916777151E-1,1.818585396E-2
3.125118376E-1,1.940555684E-2
3.333459601E-1,2.064432018E-2
3.541800826E-1,2.183780074E-2
3.750142051E-1,2.295107022E-2
3.958483276E-1,2.406778373E-2
4.166824501E-1,2.522280999E-2
4.375165726E-1,2.630320936E-2
4.583506951E-1,2.728893980E-2
4.791848176E-1,2.835268527E-2
5.000189401E-1,2.944743261E-2
5.208530626E-1,3.042972833E-2
5.416871851E-1,3.141702712E-2
5.625213076E-1,3.243317828E-2
5.833554301E-1,3.337728977E-2
6.041895526E-1,3.420028463E-2
6.250236751E-1,3.496096283E-2
6.458577976E-1,3.579069674E-2
6.666919201E-1,3.664763272E-2
6.875260427E-1,3.743812442E-2
7.083601652E-1,3.818323836E-2
7.291942877E-1,3.888776153E-2
7.500284102E-1,3.954517841E-2
7.708625327E-1,4.013535380E-2
7.916966552E-1,4.067204893E-2
8.125307777E-1,4.117586464E-2
8.333649002E-1,4.163978994E-2
8.541990227E-1,4.203934968E-2
8.750331452E-1,4.236358777E-2
8.958672677E-1,4.263416678E-2
9.167013902E-1,4.287421331E-2
9.375355127E-1,4.308090732E-2
9.583696352E-1,4.316980019E-2
9.792037577E-1,4.315923527E-2
1.000037880E0,4.317278415E-2
1.020872003E0,4.311572015E-2
1.041706125E0,4.295051843E-2
1.062540248E0,4.276566952E-2
1.083374370E0,4.252045974E-2
1.104208493E0,4.220454767E-2
1.125042615E0,4.179932922E-2
1.145876738E0,4.136453569E-2
1.166710860E0,4.093893617E-2
1.187544983E0,4.043550417E-2
1.208379105E0,3.985926136E-2
1.229213228E0,3.926138580E-2
1.250047350E0,3.864344582E-2
1.270881473E0,3.798674792E-2
1.291715595E0,3.727673739E-2
1.312549718E0,3.652211651E-2
1.333383840E0,3.573564813E-2
1.354217963E0,3.491117433E-2
1.375052085E0,3.408676386E-2
1.395886208E0,3.321371228E-2
1.416720330E0,3.226666152E-2
1.437554453E0,3.134854138E-2
1.458388575E0,3.041285276E-2
1.479222698E0,2.942215651E-2
1.500056820E0,2.848268300E-2
1.520890943E0,2.757286280E-2
1.541725065E0,2.660275251E-2
1.562559188E0,2.555346116E-2
1.583393310E0,2.451181971E-2
1.604227433E0,2.353290096E-2
1.625061555E0,2.253907360E-2
1.645895678E0,2.155822888E-2
1.666729800E0,2.057469822E-2
1.687563923E0,1.955590583E-2
1.708398045E0,1.855612546E-2
1.729232168E0,1.759615168E-2
1.750066290E0,1.664382406E-2
1.770900413E0,1.566335559E-2
1.791734535E0,1.471117139E-2
1.812568658E0,1.381183416E-2
1.833402780E0,1.289641857E-2
1.854236903E0,1.198217738E-2
1.875071025E0,1.110178046E-2
1.895905148E0,1.024155878E-2
1.916739270E0,9.378384799E-3
1.937573393E0,8.513721637E-3
1.958407515E0,7.724604569E-3
1.979241638E0,6.970912684E-3
2.000075760E0,6.183007732E-3
2.020909883E0,5.365328863E-3
2.041744005E0,4.599226639E-3
2.062578128E0,3.888191655E-3
2.083412250E0,3.142414149E-3
2.104246373E0,2.404877916E-3
2.125080495E0,1.711038291E-3
2.145914618E0,1.053173328E-3
2.166748740E0,4.251071077E-4
2.187582863E0,-2.169733634E-4
2.208416985E0,-8.807512932E-4
2.229251108E0,-1.524894964E-3
2.250085231E0,-2.144314582E-3
2.270919353E0,-2.795201726E-3
2.291753476E0,-3.420962021E-3
2.312587598E0,-4.000737332E-3
2.333421721E0,-4.620423075E-3
2.354255843E0,-5.256903823E-3
2.375089966E0,-5.828449037E-3
2.395924088E0,-6.418870296E-3
2.416758211E0,-7.065836340E-3
2.437592333E0,-7.627117913E-3
2.458426456E0,-8.096233010E-3
2.479260578E0,-8.614456281E-3
